"state_code","school_code","people","year"
1,1,157760,2008
1,2,68566,2008
1,3,69354,2008
1,4,63730,2008
1,5,64646,2008
1,6,76576,2008
1,7,68961,2008
1,8,67944,2008
1,9,106155,2008
1,10,94355,2008
1,11,131384,2008
1,12,156907,2008
1,13,192859,2008
1,14,199464,2008
1,15,66571,2008
1,16,923427,2008
1,17,195982,2008
1,18,236690,2008
1,19,596737,2008
1,20,229279,2008
1,21,473910,2008
1,22,176362,2008
1,23,39669,2008
1,24,23437,2008
1,NA,181175,2008
2,1,19311,2008
2,2,10015,2008
2,3,10127,2008
2,4,7290,2008
2,5,12238,2008
2,6,10172,2008
2,7,10515,2008
2,8,11162,2008
2,9,12018,2008
2,10,9725,2008
2,11,16398,2008
2,12,18068,2008
2,13,16301,2008
2,14,25212,2008
2,15,7135,2008
2,16,123271,2008
2,17,26314,2008
2,18,44252,2008
2,19,108487,2008
2,20,35684,2008
2,21,78686,2008
2,22,27978,2008
2,23,7714,2008
2,24,5683,2008
2,NA,32537,2008
4,1,290117,2008
4,2,88712,2008
4,3,97234,2008
4,4,99140,2008
4,5,97772,2008
4,6,118197,2008
4,7,108174,2008
4,8,108884,2008
4,9,194023,2008
4,10,117538,2008
4,11,176332,2008
4,12,191915,2008
4,13,203149,2008
4,14,217101,2008
4,15,105787,2008
4,16,1048165,2008
4,17,189035,2008
4,18,381188,2008
4,19,906553,2008
4,20,354033,2008
4,21,704833,2008
4,22,274947,2008
4,23,68288,2008
4,24,43533,2008
4,NA,315530,2008
5,1,106759,2008
5,2,46370,2008
5,3,38151,2008
5,4,40702,2008
5,5,45695,2008
5,6,46585,2008
5,7,42960,2008
5,8,46284,2008
5,9,56520,2008
5,10,51561,2008
5,11,90893,2008
5,12,89088,2008
5,13,103708,2008
5,14,123181,2008
5,15,43236,2008
5,16,636879,2008
5,17,125942,2008
5,18,164483,2008
5,19,356547,2008
5,20,115756,2008
5,21,250463,2008
5,22,84226,2008
5,23,24296,2008
5,24,12814,2008
5,NA,112291,2008
6,1,1595099,2008
6,2,528645,2008
6,3,508670,2008
6,4,539412,2008
6,5,595095,2008
6,6,707920,2008
6,7,636723,2008
6,8,671909,2008
6,9,1420578,2008
6,10,685683,2008
6,11,907102,2008
6,12,1104645,2008
6,13,1043206,2008
6,14,1298210,2008
6,15,766057,2008
6,16,5479689,2008
6,17,590319,2008
6,18,1790358,2008
6,19,4995308,2008
6,20,1982498,2008
6,21,4730310,2008
6,22,1681340,2008
6,23,538615,2008
6,24,339494,2008
6,NA,1619781,2008
8,1,171827,2008
8,2,83633,2008
8,3,72832,2008
8,4,64851,2008
8,5,74044,2008
8,6,66149,2008
8,7,72067,2008
8,8,76600,2008
8,9,110877,2008
8,10,83074,2008
8,11,110943,2008
8,12,124450,2008
8,13,126025,2008
8,14,144267,2008
8,15,56808,2008
8,16,743897,2008
8,17,145395,2008
8,18,256662,2008
8,19,673082,2008
8,20,264473,2008
8,21,796819,2008
8,22,299172,2008
8,23,68341,2008
8,24,44818,2008
8,NA,208350,2008
9,1,87698,2008
9,2,61398,2008
9,3,41832,2008
9,4,44533,2008
9,5,50582,2008
9,6,53617,2008
9,7,51584,2008
9,8,55188,2008
9,9,67114,2008
9,10,60213,2008
9,11,91381,2008
9,12,82504,2008
9,13,96425,2008
9,14,107388,2008
9,15,41422,2008
9,16,663891,2008
9,17,82417,2008
9,18,165454,2008
9,19,395891,2008
9,20,190202,2008
9,21,525048,2008
9,22,258030,2008
9,23,65133,2008
9,24,37967,2008
9,NA,124340,2008
10,1,28218,2008
10,2,15456,2008
10,3,12215,2008
10,4,10993,2008
10,5,13216,2008
10,6,10923,2008
10,7,10333,2008
10,8,11568,2008
10,9,17745,2008
10,10,15696,2008
10,11,20239,2008
10,12,23886,2008
10,13,29581,2008
10,14,31421,2008
10,15,11205,2008
10,16,188449,2008
10,17,20637,2008
10,18,48459,2008
10,19,112022,2008
10,20,43474,2008
10,21,98080,2008
10,22,45713,2008
10,23,11147,2008
10,24,6594,2008
10,NA,35822,2008
11,1,15531,2008
11,2,9504,2008
11,3,4186,2008
11,4,6656,2008
11,5,6793,2008
11,6,8139,2008
11,7,6736,2008
11,8,8734,2008
11,9,7987,2008
11,10,9353,2008
11,11,11745,2008
11,12,17228,2008
11,13,14859,2008
11,14,22319,2008
11,15,7244,2008
11,16,83087,2008
11,17,12844,2008
11,18,22587,2008
11,19,67039,2008
11,20,14505,2008
11,21,101809,2008
11,22,62806,2008
11,23,31305,2008
11,24,16490,2008
11,NA,22347,2008
12,1,588408,2008
12,2,263908,2008
12,3,218155,2008
12,4,227420,2008
12,5,250314,2008
12,6,281989,2008
12,7,268819,2008
12,8,279084,2008
12,9,401448,2008
12,10,300397,2008
12,11,430781,2008
12,12,460945,2008
12,13,578202,2008
12,14,591867,2008
12,15,331312,2008
12,16,3742792,2008
12,17,617775,2008
12,18,975274,2008
12,19,2258935,2008
12,20,1181899,2008
12,21,2244640,2008
12,22,780853,2008
12,23,249465,2008
12,24,124592,2008
12,NA,679066,2008
13,1,356116,2008
13,2,185980,2008
13,3,148474,2008
13,4,148008,2008
13,5,153616,2008
13,6,159519,2008
13,7,158615,2008
13,8,163143,2008
13,9,222402,2008
13,10,199633,2008
13,11,259110,2008
13,12,282172,2008
13,13,370472,2008
13,14,368282,2008
13,15,131311,2008
13,16,1797092,2008
13,17,345281,2008
13,18,422189,2008
13,19,1179292,2008
13,20,438517,2008
13,21,1158895,2008
13,22,428637,2008
13,23,113879,2008
13,24,63366,2008
13,NA,431743,2008
15,1,40061,2008
15,2,19379,2008
15,3,16187,2008
15,4,13768,2008
15,5,18405,2008
15,6,15821,2008
15,7,18647,2008
15,8,16819,2008
15,9,26906,2008
15,10,18088,2008
15,11,26608,2008
15,12,29034,2008
15,13,28162,2008
15,14,28983,2008
15,15,14244,2008
15,16,281695,2008
15,17,28159,2008
15,18,65168,2008
15,19,180117,2008
15,20,89667,2008
15,21,177054,2008
15,22,56448,2008
15,23,20332,2008
15,24,9491,2008
15,NA,48955,2008
16,1,63505,2008
16,2,25357,2008
16,3,23697,2008
16,4,23895,2008
16,5,20436,2008
16,6,24015,2008
16,7,22686,2008
16,8,24021,2008
16,9,34104,2008
16,10,26014,2008
16,11,35449,2008
16,12,37312,2008
16,13,42510,2008
16,14,47572,2008
16,15,18584,2008
16,16,269079,2008
16,17,50906,2008
16,18,97309,2008
16,19,227271,2008
16,20,90640,2008
16,21,169837,2008
16,22,47033,2008
16,23,15065,2008
16,24,9215,2008
16,NA,78304,2008
17,1,436849,2008
17,2,226902,2008
17,3,176662,2008
17,4,180771,2008
17,5,190805,2008
17,6,188917,2008
17,7,197144,2008
17,8,204130,2008
17,9,320331,2008
17,10,212019,2008
17,11,386007,2008
17,12,324391,2008
17,13,378263,2008
17,14,406265,2008
17,15,200603,2008
17,16,2365146,2008
17,17,340026,2008
17,18,697461,2008
17,19,1611634,2008
17,20,673899,2008
17,21,1707627,2008
17,22,682882,2008
17,23,171715,2008
17,24,92248,2008
17,NA,528867,2008
18,1,232958,2008
18,2,98893,2008
18,3,93145,2008
18,4,90208,2008
18,5,89258,2008
18,6,91023,2008
18,7,95025,2008
18,8,97391,2008
18,9,116951,2008
18,10,108929,2008
18,11,185321,2008
18,12,173477,2008
18,13,232633,2008
18,14,218225,2008
18,15,94121,2008
18,16,1418261,2008
18,17,230120,2008
18,18,340687,2008
18,19,757730,2008
18,20,335382,2008
18,21,671766,2008
18,22,245002,2008
18,23,58450,2008
18,24,38752,2008
18,NA,263084,2008
19,1,92898,2008
19,2,43820,2008
19,3,42850,2008
19,4,36827,2008
19,5,40866,2008
19,6,41184,2008
19,7,38779,2008
