"state_code","school_code","people","year"
1,1,174367,2013
1,2,69303,2013
1,3,66023,2013
1,4,59616,2013
1,5,66864,2013
1,6,69431,2013
1,7,68150,2013
1,8,74877,2013
1,9,91548,2013
1,10,94043,2013
1,11,124970,2013
1,12,146068,2013
1,13,185057,2013
1,14,184888,2013
1,15,71221,2013
1,16,950094,2013
1,17,192440,2013
1,18,246957,2013
1,19,665870,2013
1,20,266737,2013
1,21,495328,2013
1,22,202069,2013
1,23,46943,2013
1,24,32169,2013
1,NA,172591,2013
2,1,25007,2013
2,2,11973,2013
2,3,12703,2013
2,4,9009,2013
2,5,11087,2013
2,6,12525,2013
2,7,9502,2013
2,8,11433,2013
2,9,14259,2013
2,10,11321,2013
2,11,16820,2013
2,12,12164,2013
2,13,17740,2013
2,14,23474,2013
2,15,6497,2013
2,16,130805,2013
2,17,26928,2013
2,18,45515,2013
2,19,117648,2013
2,20,40456,2013
2,21,82221,2013
2,22,33718,2013
2,23,9495,2013
2,24,5892,2013
2,NA,31411,2013
4,1,261446,2013
4,2,76844,2013
4,3,98171,2013
4,4,95016,2013
4,5,102016,2013
4,6,105812,2013
4,7,103437,2013
4,8,110026,2013
4,9,168869,2013
4,10,110482,2013
4,11,166324,2013
4,12,170384,2013
4,13,183040,2013
4,14,217775,2013
4,15,109712,2013
4,16,1061441,2013
4,17,194470,2013
4,18,382176,2013
4,19,975174,2013
4,20,394647,2013
4,21,777020,2013
4,22,309421,2013
4,23,71372,2013
4,24,48977,2013
4,NA,254804,2013
5,1,107539,2013
5,2,50055,2013
5,3,42331,2013
5,4,39949,2013
5,5,44207,2013
5,6,43782,2013
5,7,43623,2013
5,8,45952,2013
5,9,58040,2013
5,10,55687,2013
5,11,80241,2013
5,12,82156,2013
5,13,97802,2013
5,14,109623,2013
5,15,39888,2013
5,16,658807,2013
5,17,135848,2013
5,18,158236,2013
5,19,390961,2013
5,20,128609,2013
5,21,278744,2013
5,22,103865,2013
5,23,23603,2013
5,24,16307,2013
5,NA,113383,2013
6,1,1679691,2013
6,2,541882,2013
6,3,541285,2013
6,4,550907,2013
6,5,597220,2013
6,6,699453,2013
6,7,627306,2013
6,8,674158,2013
6,9,1363513,2013
6,10,664116,2013
6,11,861831,2013
6,12,1097131,2013
6,13,954956,2013
6,14,1226450,2013
6,15,805227,2013
