"state_code","school_code","people","year"
1,1,170007,2010
1,2,70965,2010
1,3,67985,2010
1,4,63637,2010
1,5,63276,2010
1,6,74812,2010
1,7,68744,2010
1,8,72841,2010
1,9,106521,2010
1,10,104229,2010
1,11,118331,2010
1,12,162236,2010
1,13,190137,2010
1,14,200239,2010
1,15,74674,2010
1,16,949084,2010
1,17,194035,2010
1,18,227764,2010
1,19,650495,2010
1,20,245525,2010
1,21,469505,2010
1,22,185839,2010
1,23,43775,2010
1,24,28809,2010
1,NA,181833,2010
2,1,25098,2010
2,2,9215,2010
2,3,10194,2010
2,4,10708,2010
2,5,10222,2010
2,6,11139,2010
2,7,13276,2010
2,8,10350,2010
2,9,14260,2010
2,10,11340,2010
2,11,15200,2010
2,12,18899,2010
2,13,16174,2010
2,14,23270,2010
2,15,6599,2010
2,16,116031,2010
2,17,23556,2010
2,18,41644,2010
2,19,121132,2010
2,20,42137,2010
2,21,85794,2010
2,22,32645,2010
2,23,7222,2010
2,24,5112,2010
2,NA,32768,2010
4,1,263472,2010
4,2,76809,2010
4,3,88006,2010
4,4,97118,2010
4,5,101542,2010
4,6,112961,2010
4,7,103504,2010
4,8,107995,2010
4,9,161333,2010
4,10,115275,2010
4,11,164269,2010
4,12,175890,2010
4,13,198651,2010
4,14,222291,2010
4,15,96048,2010
4,16,1042881,2010
4,17,189889,2010
4,18,393297,2010
4,19,951656,2010
4,20,365497,2010
4,21,726912,2010
4,22,274100,2010
4,23,67728,2010
4,24,47752,2010
4,NA,268861,2010
5,1,107933,2010
5,2,46768,2010
5,3,42156,2010
5,4,41403,2010
5,5,41326,2010
5,6,47327,2010
5,7,46928,2010
5,8,47065,2010
5,9,61211,2010
5,10,56382,2010
5,11,83052,2010
5,12,94460,2010
5,13,102537,2010
5,14,121826,2010
5,15,39551,2010
5,16,633565,2010
5,17,128082,2010
5,18,161427,2010
5,19,377204,2010
5,20,134308,2010
5,21,266115,2010
5,22,92355,2010
5,23,21920,2010
5,24,12333,2010
5,NA,114372,2010
6,1,1631687,2010
6,2,536619,2010
6,3,545528,2010
6,4,540385,2010
6,5,606179,2010
6,6,710417,2010
6,7,655152,2010
6,8,666630,2010
6,9,1385723,2010
6,10,669902,2010
6,11,927494,2010
6,12,1121589,2010
6,13,1029811,2010
6,14,1276238,2010
6,15,771055,2010
6,16,5567620,2010
6,17,593291,2010
6,18,1835518,2010
6,19,5222840,2010
6,20,2028016,2010
6,21,4890823,2010
6,22,1768347,2010
6,23,548947,2010
6,24,348535,2010
6,NA,1471017,2010
8,1,167878,2010
8,2,80683,2010
8,3,72117,2010
8,4,77851,2010
8,5,72679,2010
8,6,79685,2010
8,7,77315,2010
8,8,74316,2010
8,9,108217,2010
8,10,75535,2010
8,11,105467,2010
8,12,116826,2010
8,13,122283,2010
8,14,145476,2010
8,15,55254,2010
8,16,757556,2010
8,17,152593,2010
8,18,276786,2010
8,19,684828,2010
8,20,271827,2010
8,21,841632,2010
8,22,314621,2010
8,23,66279,2010
8,24,51609,2010
8,NA,199758,2010
9,1,87025,2010
9,2,53312,2010
9,3,45897,2010
9,4,47130,2010
9,5,55935,2010
9,6,48384,2010
9,7,59837,2010
9,8,54479,2010
9,9,70533,2010
9,10,61496,2010
9,11,87787,2010
9,12,88283,2010
9,13,99979,2010
9,14,109553,2010
9,15,47423,2010
9,16,695058,2010
9,17,83849,2010
9,18,172755,2010
9,19,401758,2010
9,20,182825,2010
9,21,521923,2010
9,22,272159,2010
9,23,70799,2010
9,24,40419,2010
9,NA,118475,2010
10,1,29660,2010
