"state_code","school_code","people","year"
15,1,42276,2011
15,2,17018,2011
15,3,16215,2011
15,4,21349,2011
15,5,15304,2011
15,6,17021,2011
15,7,21345,2011
15,8,15782,2011
15,9,30438,2011
15,10,20768,2011
15,11,28774,2011
15,12,28409,2011
15,13,31408,2011
15,14,30952,2011
15,15,16232,2011
15,16,291154,2011
15,17,26608,2011
15,18,61277,2011
15,19,199497,2011
15,20,104126,2011
15,21,194645,2011
15,22,63477,2011
15,23,18430,2011
15,24,10942,2011
15,NA,51363,2011
16,1,65244,2011
16,2,26870,2011
16,3,29864,2011
16,4,24125,2011
16,5,26830,2011
16,6,28991,2011
16,7,26634,2011
16,8,24553,2011
16,9,33818,2011
16,10,24570,2011
16,11,37484,2011
16,12,37838,2011
16,13,41274,2011
16,14,46801,2011
16,15,19610,2011
16,16,262281,2011
16,17,59662,2011
16,18,103043,2011
16,19,235527,2011
16,20,97820,2011
16,21,183965,2011
16,22,57198,2011
16,23,12546,2011
16,24,10143,2011
16,NA,68294,2011
17,1,429431,2011
17,2,211954,2011
17,3,186093,2011
17,4,172994,2011
17,5,189485,2011
17,6,196972,2011
17,7,188881,2011
17,8,201230,2011
17,9,307546,2011
17,10,199880,2011
17,11,345453,2011
17,12,303837,2011
17,13,366673,2011
17,14,403513,2011
17,15,179537,2011
17,16,2390868,2011
17,17,346018,2011
17,18,673310,2011
17,19,1624429,2011
17,20,690534,2011
17,21,1780385,2011
17,22,722286,2011
17,23,197833,2011
17,24,89535,2011
17,NA,470582,2011
18,1,235278,2011
18,2,102661,2011
18,3,93523,2011
18,4,89151,2011
18,5,96228,2011
18,6,92317,2011
18,7,98189,2011
18,8,100806,2011
18,9,114571,2011
18,10,105006,2011
18,11,180911,2011
18,12,170927,2011
18,13,224374,2011
18,14,234903,2011
18,15,79753,2011
18,16,1472724,2011
18,17,243298,2011
18,18,351251,2011
18,19,804452,2011
18,20,359386,2011
18,21,671242,2011
18,22,250351,2011
18,23,54902,2011
18,24,43684,2011
18,NA,247034,2011
19,1,90357,2011
19,2,54280,2011
19,3,47580,2011
19,4,37899,2011
19,5,45322,2011
19,6,37941,2011
19,7,43584,2011
19,8,43187,2011
19,9,47768,2011
19,10,44163,2011
19,11,78388,2011
19,12,57935,2011
19,13,76223,2011
19,14,84992,2011
19,15,34272,2011
19,16,666298,2011
19,17,88346,2011
19,18,190583,2011
19,19,381353,2011
19,20,242838,2011
19,21,382752,2011
19,22,115060,2011
19,23,32125,2011
19,24,21378,2011
19,NA,117685,2011
20,1,101606,2011
20,2,50544,2011
20,3,37868,2011
20,4,45279,2011
20,5,39115,2011
20,6,43405,2011
20,7,40259,2011
20,8,46099,2011
20,9,62080,2011
20,10,48982,2011
20,11,73388,2011
20,12,57170,2011
20,13,74981,2011
20,14,88071,2011
20,15,32341,2011
20,16,491467,2011
20,17,87466,2011
20,18,185013,2011
20,19,402273,2011
20,20,158919,2011
20,21,392571,2011
20,22,144539,2011
20,23,33042,2011
20,24,19298,2011
20,NA,115462,2011
21,1,159306,2011
21,2,65575,2011
21,3,58120,2011
21,4,63133,2011
21,5,56902,2011
21,6,63364,2011
21,7,64211,2011
21,8,69858,2011
21,9,77085,2011
21,10,79509,2011
21,11,162736,2011
21,12,130557,2011
21,13,157346,2011
21,14,158472,2011
21,15,52017,2011
21,16,913969,2011
21,17,227526,2011
21,18,246662,2011
21,19,545053,2011
21,20,222040,2011
21,21,381449,2011
21,22,180064,2011
21,23,46210,2011
21,24,25135,2011
21,NA,163057,2011
22,1,171198,2011
22,2,77919,2011
22,3,64245,2011
22,4,65319,2011
22,5,65127,2011
22,6,77807,2011
22,7,80076,2011
22,8,75603,2011
22,9,90834,2011
22,10,92814,2011
22,11,121184,2011
22,12,143730,2011
22,13,178652,2011
22,14,191051,2011
22,15,61083,2011
22,16,991068,2011
22,17,184827,2011
22,18,216736,2011
22,19,634081,2011
22,20,163482,2011
22,21,446539,2011
22,22,145178,2011
22,23,44023,2011
22,24,22684,2011
22,NA,169576,2011
23,1,38046,2011
23,2,15975,2011
23,3,19477,2011
23,4,15143,2011
23,5,15463,2011
23,6,15512,2011
23,7,14512,2011
23,8,17218,2011
23,9,17874,2011
23,10,16725,2011
23,11,32883,2011
23,12,30378,2011
23,13,33357,2011
23,14,36067,2011
23,15,10727,2011
23,16,311641,2011
23,17,49144,2011
23,18,69752,2011
23,19,156587,2011
23,20,90687,2011
23,21,184516,2011
23,22,68405,2011
23,23,17292,2011
23,24,11616,2011
23,NA,39191,2011
24,1,180471,2011
24,2,87183,2011
24,3,84290,2011
24,4,77417,2011
24,5,75471,2011
24,6,77296,2011
24,7,81400,2011
24,8,82972,2011
24,9,111019,2011
24,10,100276,2011
24,11,128922,2011
24,12,141273,2011
24,13,159545,2011
24,14,176167,2011
24,15,68735,2011
24,16,1056546,2011
24,17,123755,2011
24,18,289331,2011
24,19,722563,2011
24,20,276956,2011
24,21,864002,2011
24,22,445673,2011
24,23,111567,2011
24,24,96864,2011
24,NA,208595,2011
25,1,199741,2011
25,2,99289,2011
25,3,80992,2011
25,4,78813,2011
25,5,82256,2011
25,6,91760,2011
25,7,94757,2011
25,8,100360,2011
25,9,110523,2011
25,10,107625,2011
25,11,148891,2011
25,12,150317,2011
25,13,165580,2011
25,14,163128,2011
25,15,81590,2011
25,16,1200729,2011
25,17,145822,2011
25,18,290971,2011
25,19,751080,2011
25,20,374803,2011
25,21,1089748,2011
25,22,535821,2011
25,23,122985,2011
25,24,109145,2011
25,NA,210810,2011
26,1,306803,2011
26,2,139171,2011
26,3,132062,2011
26,4,124200,2011
26,5,125038,2011
26,6,140558,2011
26,7,133629,2011
26,8,145306,2011
26,9,153280,2011
26,10,159672,2011
26,11,232254,2011
26,12,235845,2011
26,13,311251,2011
26,14,340517,2011
26,15,129970,2011
26,16,2028298,2011
26,17,293535,2011
26,18,642930,2011
26,19,1378212,2011
26,20,588487,2011
26,21,1118433,2011
26,22,482699,2011
26,23,116549,2011
26,24,67926,2011
26,NA,349562,2011
27,1,169623,2011
27,2,83921,2011
27,3,77328,2011
27,4,74806,2011
27,5,75949,2011
27,6,75272,2011
27,7,81761,2011
27,8,74193,2011
27,9,78521,2011
27,10,75720,2011
27,11,127840,2011
27,12,98353,2011
27,13,116377,2011
27,14,136411,2011
27,15,61566,2011
27,16,962272,2011
27,17,120244,2011
27,18,288058,2011
27,19,729615,2011
27,20,399973,2011
27,21,839585,2011
27,22,270065,2011
27,23,73935,2011
27,24,41776,2011
27,NA,211697,2011
28,1,118480,2011
28,2,48908,2011
28,3,46619,2011
28,4,40040,2011
28,5,40707,2011
28,6,49751,2011
28,7,48322,2011
28,8,56462,2011
28,9,59456,2011
28,10,62768,2011
28,11,95719,2011
28,12,93922,2011
28,13,126001,2011
28,14,128413,2011
28,15,45291,2011
28,16,544179,2011
28,17,127694,2011
28,18,142294,2011
28,19,413531,2011
28,20,175822,2011
28,21,262753,2011
28,22,95703,2011
28,23,26105,2011
28,24,17316,2011
28,NA,112256,2011
29,1,196905,2011
29,2,93341,2011
29,3,82858,2011
29,4,82609,2011
29,5,77826,2011
29,6,87781,2011
29,7,83289,2011
29,8,83727,2011
29,9,96626,2011
29,10,93092,2011
29,11,169127,2011
29,12,147662,2011
29,13,200134,2011
29,14,207603,2011
29,15,64637,2011
29,16,1229501,2011
29,17,204778,2011
29,18,362487,2011
29,19,807865,2011
29,20,307650,2011
29,21,703719,2011
29,22,295128,2011
29,23,68604,2011
29,24,43943,2011
29,NA,219796,2011
30,1,32719,2011
30,2,17023,2011
30,3,14254,2011
30,4,10115,2011
30,5,13691,2011
30,6,16368,2011
30,7,9917,2011
30,8,13349,2011
30,9,8788,2011
30,10,12475,2011
30,11,21612,2011
30,12,21123,2011
30,13,27393,2011
30,14,22038,2011
30,15,9610,2011
30,16,190786,2011
30,17,41522,2011
30,18,58747,2011
30,19,157701,2011
30,20,56402,2011
30,21,149714,2011
30,22,41802,2011
30,23,10444,2011
30,24,7965,2011
30,NA,32641,2011
31,1,61278,2011
31,2,28961,2011
31,3,26659,2011
31,4,23666,2011
31,5,28286,2011
31,6,28718,2011
31,7,27735,2011
31,8,24125,2011
31,9,35686,2011
31,10,31498,2011
31,11,45508,2011
31,12,39717,2011
31,13,43984,2011
31,14,47032,2011
31,15,18796,2011
31,16,346637,2011
31,17,44922,2011
31,18,113933,2011
31,19,261714,2011
31,20,130783,2011
31,21,250400,2011
31,22,71096,2011
31,23,17672,2011
31,24,15093,2011
31,NA,78742,2011
32,1,116477,2011
32,2,32062,2011
32,3,36711,2011
32,4,37084,2011
32,5,46749,2011
32,6,46305,2011
32,7,41687,2011
32,8,41787,2011
32,9,72030,2011
32,10,42225,2011
32,11,56993,2011
32,12,77368,2011
32,13,78390,2011
32,14,107146,2011
32,15,57435,2011
32,16,534271,2011
32,17,84623,2011
32,18,150846,2011
32,19,394765,2011
32,20,140539,2011
32,21,280965,2011
32,22,92011,2011
32,23,30101,2011
32,24,14864,2011
32,NA,109888,2011
33,1,30137,2011
33,2,17663,2011
33,3,15935,2011
33,4,17854,2011
33,5,16821,2011
33,6,16435,2011
33,7,13436,2011
33,8,17880,2011
33,9,18524,2011
33,10,19610,2011
33,11,31655,2011
33,12,30808,2011
33,13,34805,2011
33,14,32651,2011
33,15,13369,2011
33,16,266288,2011
33,17,40064,2011
33,18,66023,2011
33,19,164814,2011
33,20,94224,2011
33,21,199826,2011
33,22,88325,2011
33,23,16162,2011
33,24,14764,2011
33,NA,40121,2011
34,1,279566,2011
34,2,159485,2011
34,3,110598,2011
34,4,115233,2011
34,5,128372,2011
34,6,129030,2011
34,7,132047,2011
34,8,146094,2011
34,9,189325,2011
34,10,147412,2011
34,11,207525,2011
34,12,195128,2011
34,13,227008,2011
34,14,268446,2011
34,15,110936,2011
34,16,1829225,2011
34,17,163680,2011
34,18,369496,2011
34,19,967105,2011
34,20,413971,2011
34,21,1408376,2011
34,22,582658,2011
34,23,139869,2011
34,24,90627,2011
34,NA,309943,2011
35,1,83987,2011
35,2,30864,2011
35,3,28487,2011
35,4,25582,2011
35,5,29259,2011
35,6,37468,2011
35,7,36144,2011
35,8,41243,2011
35,9,54655,2011
35,10,38511,2011
35,11,51056,2011
35,12,59789,2011
35,13,73169,2011
35,14,80558,2011
35,15,32096,2011
35,16,355838,2011
35,17,61573,2011
35,18,105589,2011
35,19,309525,2011
35,20,104015,2011
35,21,204068,2011
35,22,103712,2011
35,23,22660,2011
35,24,26110,2011
35,NA,86266,2011
36,1,649075,2011
36,2,275058,2011
36,3,253798,2011
36,4,238529,2011
36,5,264642,2011
36,6,282888,2011
36,7,274611,2011
36,8,321975,2011
36,9,431570,2011
36,10,318838,2011
36,11,485085,2011
36,12,489004,2011
36,13,556766,2011
36,14,640371,2011
36,15,327603,2011
36,16,3587673,2011
36,17,562073,2011
36,18,785046,2011
36,19,2176390,2011
36,20,1204192,2011
36,21,2735500,2011
36,22,1376938,2011
36,23,357644,2011
36,24,181945,2011
36,NA,687983,2011
37,1,350103,2011
37,2,151767,2011
37,3,131655,2011
37,4,123817,2011
37,5,133650,2011
37,6,150104,2011
37,7,148137,2011
37,8,170331,2011
37,9,202260,2011
37,10,178723,2011
37,11,232432,2011
37,12,293444,2011
37,13,341097,2011
37,14,331825,2011
37,15,103722,2011
37,16,1744517,2011
37,17,303787,2011
37,18,523928,2011
37,19,1288303,2011
37,20,596665,2011
37,21,1205064,2011
37,22,410005,2011
37,23,96113,2011
37,24,76286,2011
37,NA,368666,2011
38,1,18724,2011
38,2,10954,2011
38,3,9090,2011
38,4,10914,2011
38,5,8338,2011
38,6,8315,2011
38,7,8545,2011
38,8,6605,2011
38,9,7238,2011
38,10,8745,2011
38,11,22578,2011
38,12,12503,2011
38,13,17941,2011
38,14,14562,2011
38,15,5107,2011
38,16,130221,2011
38,17,18645,2011
38,18,38129,2011
38,19,107507,2011
38,20,68863,2011
38,21,92889,2011
38,22,18296,2011
38,23,6294,2011
38,24,4248,2011
38,NA,28681,2011
39,1,384175,2011
39,2,178199,2011
39,3,156569,2011
39,4,152696,2011
39,5,153161,2011
39,6,152081,2011
39,7,155559,2011
39,8,163652,2011
39,9,181190,2011
39,10,180151,2011
39,11,292772,2011
39,12,273115,2011
39,13,351601,2011
39,14,414775,2011
39,15,155163,2011
39,16,2730680,2011
39,17,315474,2011
39,18,655706,2011
39,19,1438074,2011
39,20,639958,2011
39,21,1296088,2011
39,22,521294,2011
39,23,122206,2011
39,24,75359,2011
39,NA,405253,2011
40,1,134793,2011
40,2,62553,2011
40,3,57722,2011
40,4,54140,2011
40,5,57000,2011
40,6,54573,2011
40,7,64172,2011
40,8,56250,2011
40,9,76103,2011
40,10,70160,2011
40,11,90668,2011
40,12,101844,2011
40,13,121549,2011
40,14,144477,2011
40,15,41859,2011
40,16,767804,2011
40,17,130338,2011
40,18,221126,2011
40,19,511200,2011
40,20,204389,2011
40,21,418923,2011
40,22,138337,2011
40,23,31417,2011
40,24,23392,2011
40,NA,156719,2011
41,1,128164,2011
41,2,51147,2011
