"state_code","school_code","people","year"
1,1,174910,2012
1,2,66430,2012
1,3,64107,2012
1,4,62256,2012
1,5,70131,2012
1,6,76350,2012
1,7,63131,2012
1,8,77618,2012
1,9,97322,2012
1,10,92392,2012
1,11,124581,2012
1,12,138021,2012
1,13,180001,2012
1,14,184551,2012
1,15,70725,2012
1,16,949339,2012
1,17,193153,2012
1,18,246606,2012
1,19,669958,2012
1,20,260647,2012
1,21,502239,2012
1,22,202451,2012
1,23,50169,2012
1,24,30469,2012
1,NA,174466,2012
2,1,24519,2012
2,2,10150,2012
2,3,13858,2012
2,4,8372,2012
2,5,13311,2012
2,6,10529,2012
2,7,10430,2012
2,8,11896,2012
2,9,14436,2012
2,10,8927,2012
2,11,15476,2012
2,12,12006,2012
2,13,19018,2012
2,14,22359,2012
2,15,6168,2012
2,16,125060,2012
2,17,27786,2012
2,18,43369,2012
2,19,120163,2012
2,20,45765,2012
2,21,83985,2012
2,22,36107,2012
2,23,10609,2012
2,24,6566,2012
2,NA,30584,2012
4,1,267902,2012
4,2,76444,2012
4,3,88830,2012
4,4,94199,2012
4,5,101534,2012
4,6,109587,2012
4,7,106062,2012
4,8,111422,2012
4,9,175739,2012
4,10,110512,2012
4,11,163912,2012
4,12,172347,2012
4,13,187779,2012
4,14,209542,2012
4,15,106576,2012
4,16,1039142,2012
4,17,192512,2012
4,18,377639,2012
4,19,990946,2012
4,20,389858,2012
4,21,782583,2012
4,22,313116,2012
4,23,80881,2012
4,24,48236,2012
4,NA,255955,2012
5,1,102702,2012
5,2,49688,2012
5,3,44656,2012
5,4,44351,2012
5,5,42024,2012
5,6,38372,2012
5,7,44135,2012
5,8,46620,2012
5,9,61008,2012
5,10,49993,2012
5,11,77528,2012
5,12,80839,2012
5,13,96708,2012
5,14,112803,2012
5,15,35198,2012
5,16,655247,2012
5,17,142868,2012
5,18,158522,2012
5,19,389757,2012
5,20,129862,2012
5,21,286509,2012
5,22,107428,2012
5,23,21481,2012
5,24,16167,2012
5,NA,114665,2012
6,1,1681723,2012
6,2,542877,2012
6,3,555745,2012
6,4,551666,2012
6,5,608266,2012
6,6,690255,2012
6,7,622166,2012
6,8,675295,2012
6,9,1374750,2012
6,10,657191,2012
6,11,853092,2012
6,12,1115689,2012
6,13,935374,2012
6,14,1234261,2012
6,15,818924,2012
6,16,5643357,2012
