"state_code","school_code","people","year"
1,1,168835,2009
1,2,70897,2009
1,3,66133,2009
1,4,60275,2009
1,5,71355,2009
1,6,72679,2009
1,7,71607,2009
1,8,74966,2009
1,9,98223,2009
1,10,96834,2009
1,11,124990,2009
1,12,157908,2009
1,13,183200,2009
1,14,196785,2009
1,15,69204,2009
1,16,915574,2009
1,17,196668,2009
1,18,240392,2009
1,19,643376,2009
1,20,231350,2009
1,21,475448,2009
1,22,169955,2009
1,23,43609,2009
1,24,25733,2009
1,NA,182712,2009
2,1,24253,2009
2,2,5997,2009
2,3,9741,2009
2,4,9180,2009
2,5,9689,2009
2,6,12177,2009
2,7,12044,2009
2,8,10634,2009
2,9,10821,2009
2,10,12904,2009
2,11,16202,2009
2,12,15662,2009
2,13,19745,2009
2,14,21477,2009
2,15,8761,2009
2,16,123159,2009
2,17,28631,2009
2,18,46030,2009
2,19,111494,2009
2,20,34796,2009
2,21,81884,2009
2,22,28605,2009
2,23,5949,2009
2,24,4298,2009
2,NA,34340,2009
4,1,297167,2009
4,2,85560,2009
4,3,99983,2009
4,4,91685,2009
4,5,101607,2009
4,6,108613,2009
4,7,116607,2009
4,8,112480,2009
4,9,185722,2009
4,10,119050,2009
4,11,179216,2009
4,12,186565,2009
4,13,198188,2009
4,14,222634,2009
4,15,111570,2009
4,16,1069901,2009
4,17,192157,2009
4,18,382738,2009
4,19,940121,2009
4,20,364557,2009
4,21,731826,2009
4,22,274838,2009
4,23,67972,2009
4,24,45356,2009
4,NA,309665,2009
5,1,109732,2009
5,2,45456,2009
5,3,40792,2009
5,4,39590,2009
5,5,42154,2009
5,6,46902,2009
5,7,45676,2009
5,8,47992,2009
5,9,58700,2009
5,10,62260,2009
5,11,85018,2009
5,12,80632,2009
5,13,105558,2009
5,14,114018,2009
5,15,42225,2009
5,16,628392,2009
5,17,133002,2009
5,18,158967,2009
5,19,379805,2009
5,20,128412,2009
5,21,258922,2009
5,22,83846,2009
5,23,19018,2009
5,24,11108,2009
5,NA,121273,2009
6,1,1659897,2009
6,2,555395,2009
6,3,520415,2009
6,4,537193,2009
6,5,609859,2009
6,6,717968,2009
6,7,626972,2009
6,8,687816,2009
6,9,1397774,2009
6,10,684383,2009
6,11,897806,2009
6,12,1077427,2009
6,13,1026977,2009
6,14,1245267,2009
6,15,746832,2009
6,16,5494642,2009
6,17,600041,2009
6,18,1842719,2009
6,19,5029106,2009
6,20,1990267,2009
6,21,4814958,2009
6,22,1703817,2009
6,23,541651,2009
6,24,333221,2009
6,NA,1619261,2009
8,1,166721,2009
8,2,90568,2009
8,3,73310,2009
