"","state_code","school_code","people","year","acs_state_name"
"147",8,22,299172,2008,"delaware"
"148",8,23,68341,2008,"delaware"
"149",8,24,44818,2008,"delaware"
"150",8,NA,208350,2008,"delaware"
"151",9,1,87698,2008,"district of columbia"
"152",9,2,61398,2008,"district of columbia"
"153",9,3,41832,2008,"district of columbia"
"154",9,4,44533,2008,"district of columbia"
"155",9,5,50582,2008,"district of columbia"
"156",9,6,53617,2008,"district of columbia"
"157",9,7,51584,2008,"district of columbia"
"158",9,8,55188,2008,"district of columbia"
"159",9,9,67114,2008,"district of columbia"
"160",9,10,60213,2008,"district of columbia"
"161",9,11,91381,2008,"district of columbia"
"162",9,12,82504,2008,"district of columbia"
"163",9,13,96425,2008,"district of columbia"
"164",9,14,107388,2008,"district of columbia"
"165",9,15,41422,2008,"district of columbia"
"166",9,16,663891,2008,"district of columbia"
"167",9,17,82417,2008,"district of columbia"
"168",9,18,165454,2008,"district of columbia"
"169",9,19,395891,2008,"district of columbia"
"170",9,20,190202,2008,"district of columbia"
"171",9,21,525048,2008,"district of columbia"
"172",9,22,258030,2008,"district of columbia"
"173",9,23,65133,2008,"district of columbia"
"174",9,24,37967,2008,"district of columbia"
"175",9,NA,124340,2008,"district of columbia"
"176",10,1,28218,2008,"florida"
"177",10,2,15456,2008,"florida"
"178",10,3,12215,2008,"florida"
"179",10,4,10993,2008,"florida"
"180",10,5,13216,2008,"florida"
"181",10,6,10923,2008,"florida"
"182",10,7,10333,2008,"florida"
"183",10,8,11568,2008,"florida"
"184",10,9,17745,2008,"florida"
"185",10,10,15696,2008,"florida"
"186",10,11,20239,2008,"florida"
"187",10,12,23886,2008,"florida"
"188",10,13,29581,2008,"florida"
"189",10,14,31421,2008,"florida"
"190",10,15,11205,2008,"florida"
"191",10,16,188449,2008,"florida"
"192",10,17,20637,2008,"florida"
"193",10,18,48459,2008,"florida"
"194",10,19,112022,2008,"florida"
"195",10,20,43474,2008,"florida"
"196",10,21,98080,2008,"florida"
"197",10,22,45713,2008,"florida"
"198",10,23,11147,2008,"florida"
"199",10,24,6594,2008,"florida"
"200",10,NA,35822,2008,"florida"
"201",11,1,15531,2008,"georgia"
"202",11,2,9504,2008,"georgia"
"203",11,3,4186,2008,"georgia"
"204",11,4,6656,2008,"georgia"
"205",11,5,6793,2008,"georgia"
"206",11,6,8139,2008,"georgia"
"207",11,7,6736,2008,"georgia"
"208",11,8,8734,2008,"georgia"
"209",11,9,7987,2008,"georgia"
"210",11,10,9353,2008,"georgia"
"211",11,11,11745,2008,"georgia"
"212",11,12,17228,2008,"georgia"
"213",11,13,14859,2008,"georgia"
"214",11,14,22319,2008,"georgia"
"215",11,15,7244,2008,"georgia"
"216",11,16,83087,2008,"georgia"
"217",11,17,12844,2008,"georgia"
"218",11,18,22587,2008,"georgia"
"219",11,19,67039,2008,"georgia"
"220",11,20,14505,2008,"georgia"
"221",11,21,101809,2008,"georgia"
"222",11,22,62806,2008,"georgia"
"223",11,23,31305,2008,"georgia"
"224",11,24,16490,2008,"georgia"
"225",11,NA,22347,2008,"georgia"
"226",12,1,588408,2008,"hawaii"
"227",12,2,263908,2008,"hawaii"
"228",12,3,218155,2008,"hawaii"
"229",12,4,227420,2008,"hawaii"
"230",12,5,250314,2008,"hawaii"
"231",12,6,281989,2008,"hawaii"
"232",12,7,268819,2008,"hawaii"
"233",12,8,279084,2008,"hawaii"
"234",12,9,401448,2008,"hawaii"
"235",12,10,300397,2008,"hawaii"
"236",12,11,430781,2008,"hawaii"
"237",12,12,460945,2008,"hawaii"
"238",12,13,578202,2008,"hawaii"
"239",12,14,591867,2008,"hawaii"
"240",12,15,331312,2008,"hawaii"
"241",12,16,3742792,2008,"hawaii"
"242",12,17,617775,2008,"hawaii"
"243",12,18,975274,2008,"hawaii"
"244",12,19,2258935,2008,"hawaii"
"245",12,20,1181899,2008,"hawaii"
"246",12,21,2244640,2008,"hawaii"
"247",12,22,780853,2008,"hawaii"
"248",12,23,249465,2008,"hawaii"
"249",12,24,124592,2008,"hawaii"
"250",12,NA,679066,2008,"hawaii"
"251",13,1,356116,2008,"idaho"
"252",13,2,185980,2008,"idaho"
"253",13,3,148474,2008,"idaho"
"254",13,4,148008,2008,"idaho"
"255",13,5,153616,2008,"idaho"
"256",13,6,159519,2008,"idaho"
"257",13,7,158615,2008,"idaho"
"258",13,8,163143,2008,"idaho"
"259",13,9,222402,2008,"idaho"
"260",13,10,199633,2008,"idaho"
"261",13,11,259110,2008,"idaho"
"262",13,12,282172,2008,"idaho"
"263",13,13,370472,2008,"idaho"
"264",13,14,368282,2008,"idaho"
"265",13,15,131311,2008,"idaho"
"266",13,16,1797092,2008,"idaho"
"267",13,17,345281,2008,"idaho"
"268",13,18,422189,2008,"idaho"
"269",13,19,1179292,2008,"idaho"
"270",13,20,438517,2008,"idaho"
"271",13,21,1158895,2008,"idaho"
"272",13,22,428637,2008,"idaho"
"273",13,23,113879,2008,"idaho"
"274",13,24,63366,2008,"idaho"
"275",13,NA,431743,2008,"idaho"
"276",15,1,40061,2008,"indiana"
"277",15,2,19379,2008,"indiana"
"278",15,3,16187,2008,"indiana"
"279",15,4,13768,2008,"indiana"
"280",15,5,18405,2008,"indiana"
"281",15,6,15821,2008,"indiana"
"282",15,7,18647,2008,"indiana"
"283",15,8,16819,2008,"indiana"
"284",15,9,26906,2008,"indiana"
"285",15,10,18088,2008,"indiana"
"286",15,11,26608,2008,"indiana"
"287",15,12,29034,2008,"indiana"
"288",15,13,28162,2008,"indiana"
"289",15,14,28983,2008,"indiana"
"290",15,15,14244,2008,"indiana"
"291",15,16,281695,2008,"indiana"
"292",15,17,28159,2008,"indiana"
"293",15,18,65168,2008,"indiana"
"294",15,19,180117,2008,"indiana"
"295",15,20,89667,2008,"indiana"
"296",15,21,177054,2008,"indiana"
"297",15,22,56448,2008,"indiana"
"298",15,23,20332,2008,"indiana"
"299",15,24,9491,2008,"indiana"
"300",15,NA,48955,2008,"indiana"
"301",16,1,63505,2008,"iowa"
"302",16,2,25357,2008,"iowa"
"303",16,3,23697,2008,"iowa"
