"","state_code","year","school_code","people","acs_state_name","totalpop","prop"
"93",1,2011,18,251991,"alabama",4802740,5.24681744171036
"94",1,2011,19,667822,"alabama",4802740,13.9050208839121
"95",1,2011,20,253266,"alabama",4802740,5.27336478760041
"96",1,2011,21,473291,"alabama",4802740,9.85460383031353
"97",1,2011,22,197430,"alabama",4802740,4.11077843064584
"98",1,2011,23,44456,"alabama",4802740,0.925638281480988
"99",1,2011,24,33434,"alabama",4802740,0.696144284304376
"100",1,2011,NA,173221,"alabama",4802740,3.60671200189892
"101",1,2012,1,174910,"alabama",4822023,3.62731575523385
"102",1,2012,2,66430,"alabama",4822023,1.37763756000334
"103",1,2012,3,64107,"alabama",4822023,1.32946275868033
"104",1,2012,4,62256,"alabama",4822023,1.29107638018317
"105",1,2012,5,70131,"alabama",4822023,1.45438957881371
"106",1,2012,6,76350,"alabama",4822023,1.58336034481793
"107",1,2012,7,63131,"alabama",4822023,1.30922229114212
"108",1,2012,8,77618,"alabama",4822023,1.60965636207044
"109",1,2012,9,97322,"alabama",4822023,2.018281538682
"110",1,2012,10,92392,"alabama",4822023,1.9160422917933
"111",1,2012,11,124581,"alabama",4822023,2.58358369505911
"112",1,2012,12,138021,"alabama",4822023,2.86230488738855
"113",1,2012,13,180001,"alabama",4822023,3.732893849739
"114",1,2012,14,184551,"alabama",4822023,3.82725258672553
"115",1,2012,15,70725,"alabama",4822023,1.46670806008184
"116",1,2012,16,949339,"alabama",4822023,19.6875668158364
"117",1,2012,17,193153,"alabama",4822023,4.00564244508996
"118",1,2012,18,246606,"alabama",4822023,5.11416059193413
"119",1,2012,19,669958,"alabama",4822023,13.89371224484
"120",1,2012,20,260647,"alabama",4822023,5.40534543281938
"121",1,2012,21,502239,"alabama",4822023,10.4155247704128
"122",1,2012,22,202451,"alabama",4822023,4.19846607948573
"123",1,2012,23,50169,"alabama",4822023,1.04041395074225
"124",1,2012,24,30469,"alabama",4822023,0.631871726866504
"125",1,2012,NA,174466,"alabama",4822023,3.61810800155868
"126",1,2013,1,174367,"alabama",4817624,3.61935676175642
"127",1,2013,2,69303,"alabama",4817624,1.43853069479893
"128",1,2013,3,66023,"alabama",4817624,1.37044734084686
"129",1,2013,4,59616,"alabama",4817624,1.23745647231914
"130",1,2013,5,66864,"alabama",4817624,1.38790407885713
"131",1,2013,6,69431,"alabama",4817624,1.44118760617267
"132",1,2013,7,68150,"alabama",4817624,1.41459773531517
"133",1,2013,8,74877,"alabama",4817624,1.55423088227724
"134",1,2013,9,91548,"alabama",4817624,1.90027283158669
"135",1,2013,10,94043,"alabama",4817624,1.9520618462545
"136",1,2013,11,124970,"alabama",4817624,2.59401729981418
"137",1,2013,12,146068,"alabama",4817624,3.03195101983883
"138",1,2013,13,185057,"alabama",4817624,3.84125037570387
"139",1,2013,14,184888,"alabama",4817624,3.83774242240573
"140",1,2013,15,71221,"alabama",4817624,1.47834285116481
"141",1,2013,16,950094,"alabama",4817624,19.7212152712623
"142",1,2013,17,192440,"alabama",4817624,3.99450019345636
"143",1,2013,18,246957,"alabama",4817624,5.12611611034817
"144",1,2013,19,665870,"alabama",4817624,13.821543565874
"145",1,2013,20,266737,"alabama",4817624,5.53669194607134
"146",1,2013,21,495328,"alabama",4817624,10.2815827885281
"147",1,2013,22,202069,"alabama",4817624,4.19437050296993
"148",1,2013,23,46943,"alabama",4817624,0.974401489198825
"149",1,2013,24,32169,"alabama",4817624,0.667735796732995
"150",1,2013,NA,172591,"alabama",4817624,3.58249211644578
"151",10,2008,1,28218,"florida",873092,3.23196180929387
"152",10,2008,2,15456,"florida",873092,1.77026017876696
"153",10,2008,3,12215,"florida",873092,1.39905073004907
"154",10,2008,4,10993,"florida",873092,1.25908838931063
"155",10,2008,5,13216,"florida",873092,1.51370073256885
